DATE	SAMPLING_GROUP	EXP_DAY	MANIPULATION_DAY	TREATMENT	AVIARY	ID	COLOR_RING	SAMPLING_TIME	BODY_MASS	VIDEO	CLOACA_HIGH1	CLOACA_HIGH2	CLOACA_HIGH3	CLOACA_WIDTH1	CLOACA_WIDTH2	CLOACA_WIDTH3	CLOACA_LENGTH1	CLOACA_LENGTH2	CLOACA_LENGTH3
20.05.14	1	3	0	Uninfected	2	N566484	blue	14	28.4	spvid_045	4.45	4.43	4.88	8.81	8.89	8.89	7.41	7.41	7.08
20.05.14	1	3	0	Uninfected	2	N566486	yellow	14	30.4	spvid_046	5.4	4.99	4.68	7.37	6.96	7.25	5.6	5.46	5.68
20.05.14	1	3	0	Uninfected	2	N566487	red	15	28.3	spvid_047	4.58	4.33	4.08	6.89	6.97	6.94	5.93	5.21	5.23
20.05.14	1	3	0	Uninfected	2	N566485	white	16	25.2	spvid_048	4.03	3.92	3.79	7.95	7.73	7.35	5.71	4.5	5
20.05.14	1	3	0	Infected	12	N566402	white	16	27	spvid_049	5.24	4.86	5.23	7.51	7.74	7.4	5.37	5.9	5.74
20.05.14	1	3	0	Infected	12	N566401	yellow	16	27.8	spvid_050	4.59	5.05	5.32	7.86	7.32	7.88	5.92	5.39	6.03
20.05.14	1	3	0	Infected	12	N566452	red	16	28	spvid_051	5.5	5.62	5.4	7.48	6.9	6.96	4.97	5.14	5.39
20.05.14	1	3	0	Infected	12	N566403	blue	17	26.3	spvid_052	3.52	3.77	3.71	7.41	7.2	7.36	4.56	5.32	5.21
20.05.14	1	3	0	Uninfected	6	N566495	blue	17	27.9	spvid_053	3.91	4.33	3.81	6.91	6.48	6.45	5.37	4.32	4.58
20.05.14	1	3	0	Uninfected	6	N566140	red	18	27.8	spvid_054	5.02	4.77	4.51	8.34	8.55	8.41	5.19	5.69	5.93
20.05.14	1	3	0	Uninfected	6	N566497	white	18	27.3	spvid_055	4.78	4.9	4.47	8.01	7.92	8.23	4.76	5.17	5.25
20.05.14	1	3	0	Uninfected	6	N566200	yellow	18	28.2	spvid_056	5.34	5.29	4.73	6.73	7.57	7.24	5.55	5.48	5.23
22.05.14	2	1	0	Infected	15	N566460	blue	8	26.7	spvid_057	4.23	4.62	4.47	7.74	7.31	7.06	4.39	4.28	4.15
22.05.14	2	1	0	Infected	15	N566473	white	8	30.3	spvid_058	4.48	4.31	4.45	7.41	7.29	7.04	4.96	4.95	4.8
22.05.14	2	1	0	Infected	15	N173696	red	8	28.4	spvid_059	5.47	5.29	5.17	7.77	7.77	7.67	4.85	5.06	4.75
22.05.14	2	1	0	Infected	15	N566450	yellow	8	27.7	spvid_060	5.16	5.53	5.69	7.86	7.52	7.69	4.84	5.51	5.36
22.05.14	2	1	0	Uninfected	9	N566457	white	9	25	spvid_061	5.04	4.6	4.3	8.07	7.99	8.05	4.85	5.07	5.08
22.05.14	2	1	0	Uninfected	9	N566433	blue	9	29.1	spvid_062	4.27	4.54	4.39	6.24	7	7.14	4.59	4.76	4.7
22.05.14	2	1	0	Uninfected	9	N566438	yellow	9	28.2	spvid_063	5.86	5.83	5.81	7.14	7.34	7.05	4.77	4.3	4.41
22.05.14	2	1	0	Uninfected	9	N566432	red	9	26.3	spvid_064	6.96	5.52	5.78	7.17	7.21	7.63	4.73	4.84	4.88
22.05.14	2	1	0	Infected	3	N566409	yellow	10	25.9	spvid_065	5.11	4.65	4.82	7.34	7.28	7.15	4.5	4.78	4.33
22.05.14	2	1	0	Infected	3	N566413	blue	10	27.9	spvid_066	5.27	4.9	4.97	7.2	7.81	7.29	4.74	4.65	4.97
22.05.14	2	1	0	Infected	3	N566415	white	10	26	spvid_067	5.06	4.21	4.41	7.82	7.77	7.6	4.84	5.29	4.81
22.05.14	2	1	0	Infected	3	N566436	red	10	27.2	spvid_068	4.49	4.51	4.76	7.69	6.83	7.15	4.99	5.2	5.23
22.05.14	2	1	0	Uninfected	13	N566441	yellow	11	29.4	spvid_069	5.33	5.28	5.32	7.62	7.64	6.89	5.05	4.48	4.71
22.05.14	2	1	0	Uninfected	13	N566464	red	11	27.4	spvid_070	5.54	5.06	4.93	6.32	6	6.35	4.7	4.8	4.27
22.05.14	2	1	0	Uninfected	13	N566448	white	11	25.7	spvid_071	5.49	5.15	4.62	7.47	7.65	6.67	5.91	6.33	5.88
22.05.14	2	1	0	Uninfected	13	N566466	blue	11	27.1	spvid_072	5.72	5.54	5.6	8.12	8.07	7.96	6.01	5.93	6.42
22.05.14	2	1	0	Infected	7	N566423	yellow	13	25.8	spvid_073	4.67	4.31	4.67	6.15	5.96	5.85	4.45	4.3	4.35
22.05.14	2	1	0	Infected	7	N566437	white	13	29.1	spvid_074	3.83	4.03	3.88	7.15	7.99	6.99	4.32	4.7	4.38
22.05.14	2	1	0	Infected	7	N566442	red	14	31	spvid_075	5.01	4.59	5.06	8.32	8.87	8.56	6.29	6.02	5.78
22.05.14	2	1	0	Infected	7	N566465	blue	14	27.7	spvid_076	4.82	4.6	4.47	7.11	6.72	6.38	3.29	3.59	3.81
22.05.14	2	1	0	Uninfected	5	N566407	red	14	28.4	spvid_077	4.79	4.68	4.73	5.56	5.3	5.54	3.67	3.69	4.65
22.05.14	2	1	0	Uninfected	5	N566417	white	15	29	spvid_078	4.5	4.48	4.97	7.77	7.91	8.14	5.97	5.22	5.15
22.05.14	2	1	0	Uninfected	5	N566419	blue	15	27.1	spvid_079	4.75	3.9	4.12	7.39	7.19	7.66	5.25	5.06	5.06
22.05.14	2	1	0	Uninfected	5	N566440	yellow	15	28.2	spvid_080	3.83	3.68	3.69	6.52	6.37	6.07	4.67	4.38	4.09
22.05.14	2	1	0	Infected	11	N566434	white	16	31.1	spvid_081	3.97	4.45	4.37	7.1	7.44	7.27	5.2	4.65	4.69
22.05.14	2	1	0	Infected	11	N566458	yellow	16	28.4	spvid_082	3.5	3.28	3.78	6.73	6.91	6.85	5.61	5.58	5.15
22.05.14	2	1	0	Infected	11	N566459	red	16	27.4	spvid_083	4.44	4.1	3.91	7.09	7.9	7.27	6.06	5.92	5.88
22.05.14	2	1	0	Infected	11	N566447	blue	16	28.4	spvid_084	4.43	4.53	4.54	6.95	6.84	6.97	4.72	5.97	4.69
24.05.14	2	3	0	Infected	15	N566460	blue	8	26.7	spvid_085	4.89	3.96	4.17	7.04	7.64	7.6	5.21	5.88	5.08
24.05.14	2	3	0	Infected	15	N566473	white	8	29.9	spvid_086	5.65	5.79	5.51	7.68	8.2	7.77	5.64	5.95	6.15
24.05.14	2	3	0	Infected	15	N173696	red	8	28.7	spvid_087	5.02	4.6	4.76	7.81	7.56	7.88	5.27	6.11	6.25
24.05.14	2	3	0	Infected	15	N566450	yellow	8	27.5	spvid_088	5.73	5.74	5.65	7.2	7.54	7.3	6.16	5.55	5.35
24.05.14	2	3	0	Uninfected	9	N566457	white	9	25.1	spvid_089	4.41	4.45	4.46	7.8	6.69	6.17	4.68	5.1	4.7
24.05.14	2	3	0	Uninfected	9	N566433	blue	9	28.6	spvid_090	5.91	6.55	5.48	8.82	8.38	8.29	4.77	5.71	4.91
24.05.14	2	3	0	Uninfected	9	N566438	yellow	9	27.8	spvid_091	5.33	5.03	5.04	8.03	8.1	8.06	6.25	5.81	6.01
24.05.14	2	3	0	Uninfected	9	N566432	red	10	25.2	spvid_092	5.65	5.05	5.26	7.56	7.22	7.05	4.35	5.38	5.34
24.05.14	2	3	0	Infected	3	N566409	yellow	10	25.4	spvid_093	4.78	4.81	4.89	7.49	7.5	7.47	5.79	5.46	5.23
24.05.14	2	3	0	Infected	3	N566413	blue	10	27.4	spvid_094	4.54	4.86	4.31	8.03	7.77	7.76	5.66	4.91	5.78
24.05.14	2	3	0	Infected	3	N566415	white	11	25.7	spvid_095	4.4	4.62	4.61	6.92	6.88	6.89	5.45	5.37	5.36
24.05.14	2	3	0	Infected	3	N566436	red	11	26.8	spvid_096	4.18	4.04	4.27	7	7.04	7.2	4.17	3.94	4.16
24.05.14	2	3	0	Uninfected	13	N566441	yellow	11	29.4	spvid_097	5.37	5.62	5.22	7.04	6.92	6.84	5.81	5.89	5.8
24.05.14	2	3	0	Uninfected	13	N566464	red	11	27.4	spvid_098	5.75	5.75	5.32	8.66	8.82	7.84	5.54	5.62	5.31
24.05.14	2	3	0	Uninfected	13	N566448	white	12	25.5	spvid_099	4.45	4.9	4.75	7.39	7.37	7.33	5.33	5.16	5.37
24.05.14	2	3	0	Uninfected	13	N566466	blue	12	26.6	spvid_100	5.13	5.15	5.11	7.75	7.8	7.59	5.14	5.32	5.43
24.05.14	2	3	0	Infected	7	N566423	yellow	14	26.3	spvid_101	6.02	5.68	5.43	7.47	7.4	7.33	5.14	5.24	4.88
24.05.14	2	3	0	Infected	7	N566437	white	14	29.1	spvid_102	4	4.32	4.47	6.91	6.93	7.04	5.34	5.56	5.47
24.05.14	2	3	0	Infected	7	N566442	red	14	31	spvid_103	5.71	6.19	5.87	8.25	8.25	8.2	5.39	5.73	5.69
24.05.14	2	3	0	Infected	7	N566465	blue	15	28.2	spvid_104	3.84	4.46	4.46	7.43	7.71	7.39	4.84	5.09	5.11
24.05.14	2	3	0	Uninfected	5	N566407	red	15	28.3	spvid_105	4.92	4.39	4.83	7.1	6.59	6.73	3.49	4.16	4.11
24.05.14	2	3	0	Uninfected	5	N566417	white	15	28.8	spvid_106	4.66	4.31	4.53	8.66	8.14	8.28	5.89	5.83	5.42
24.05.14	2	3	0	Uninfected	5	N566419	blue	16	27.2	spvid_107	4.64	5.34	4.62	7.15	7.83	7.86	5.95	5.48	6.06
24.05.14	2	3	0	Uninfected	5	N566440	yellow	16	26.8	spvid_108	4.85	3.93	4.51	5.82	6	6.13	4.21	4.23	4.21
24.05.14	2	3	0	Infected	11	N566434	white	16	30.8	spvid_109	4.32	4.87	4.46	7.8	7.46	7.41	4.87	4.93	4.87
24.05.14	2	3	0	Infected	11	N566458	yellow	17	26.7	spvid_110	5	4.45	4.65	7.21	7.58	7.08	5.5	5.92	5.48
24.05.14	2	3	0	Infected	11	N566459	red	17	27.4	spvid_111	4.45	4.47	4.66	7.84	7.21	7.62	6.1	6.34	5.86
24.05.14	2	3	0	Infected	11	N566447	blue	17	28.6	spvid_112	5.23	4.69	4.77	7.26	7.18	7.09	5.04	5.38	5.15
27.05.14	1	10	9	Uninfected	10	N585203	blue	7	27.4	spvid_113	4.45	5.44	4.95	6.84	6.87	5.92	4.19	4.54	4.6
27.05.14	1	10	9	Uninfected	10	N585204	red	7	26	spvid_114	4.58	4.6	4.75	7.1	6.17	6.42	4.64	4.42	3.97
27.05.14	1	10	9	Uninfected	10	N585205	yellow	8	28.2	spvid_115	5.12	5.09	4.67	6.95	7	7.05	4.26	3.87	3.88
27.05.14	1	10	9	Uninfected	10	N566113	white	8	25.8	spvid_116	5.49	5.62	5.48	6.58	7.68	7.82	5	4.93	4.73
27.05.14	1	10	9	Infected	4	N566490	blue	8	26.6	spvid_117	5.38	4.63	4.76	6.1	5.92	5.72	4.5	3.7	3.82
27.05.14	1	10	9	Infected	4	N566493	yellow	8	25.8	spvid_118	4.69	4.86	4.5	7.19	7.2	7.4	5.47	5.16	5.13
27.05.14	1	10	9	Infected	4	N566182	red	9	26.4	spvid_119	5.11	4.54	5.49	7.02	7.75	8.09	4.38	4.49	4.51
27.05.14	1	10	9	Infected	4	N566492	white	9	28.2	spvid_120	4.79	4.64	4.17	6.85	6.82	7	4.86	4.92	4.7
27.05.14	1	10	9	Uninfected	14	N566198	red	9	25.8	spvid_121	4.55	4.73	4.21	6.49	6.03	6.13	4.29	4.62	4.52
27.05.14	1	10	9	Uninfected	14	N566199	white	9	26.4	spvid_122	4.17	4.25	4.77	7.17	8	8.08	4.49	4.69	4.49
27.05.14	1	10	9	Uninfected	14	N566404	yellow	9	27.5	spvid_123	4.77	4.58	4.27	6.45	6.28	6.06	4.07	4.3	4.34
27.05.14	1	10	9	Uninfected	14	N566160	blue	10	28.9	spvid_124	6.3	5.43	5.23	7.69	7.55	7.24	5.38	5.86	5.34
27.05.14	1	10	9	Infected	8	N585208	yellow	10	29.4	spvid_125	5.49	5.47	5.47	6.81	7.26	6.33	3.91	4.22	4.27
27.05.14	1	10	9	Infected	8	N585209	white	10	24.8	spvid_126	5.38	5.05	4.97	5.91	6.16	6.21	5.01	5.03	4.84
27.05.14	1	10	9	Infected	8	N585210	red	10	28.6	spvid_127	5.01	5.13	4.91	7.16	7.25	7.25	4.75	4.33	4.74
27.05.14	1	10	9	Infected	8	N566400	blue	10	27.2	spvid_128	4.82	4.44	4.43	5.7	6.2	6.08	5.12	5.03	5.17
27.05.14	1	10	9	Uninfected	2	N566484	blue	12	27.3	spvid_129	4.05	4.25	4.03	7.02	7.59	7.7	4.89	4.65	4.67
27.05.14	1	10	9	Uninfected	2	N566486	yellow	12	28.2	spvid_130	4.39	4.83	4.12	6.22	6.65	6.94	4.84	4.82	4.87
27.05.14	1	10	9	Uninfected	2	N566487	red	12	28.2	spvid_131	3.88	3.91	3.96	6.2	6.5	7.02	4.85	4.64	4.63
27.05.14	1	10	9	Uninfected	2	N566485	white	12	25.2	spvid_132	4.14	4.26	4.26	6.6	6.85	6.6	4.33	4.92	4.73
27.05.14	1	10	9	Infected	12	N566402	white	13	26.3	spvid_133	4.74	4.54	5.05	6.62	6.26	6.13	4.02	3.9	4.09
27.05.14	1	10	9	Infected	12	N566401	yellow	13	27.3	spvid_134	3.86	3.44	3.75	6.44	7.06	6.48	4.54	4.8	4.28
27.05.14	1	10	9	Infected	12	N566452	red	13	27.6	spvid_135	4.02	4.12	4.26	6.51	5.97	6.13	5.03	4.6	4.43
27.05.14	1	10	9	Infected	12	N566403	blue	13	26.4	spvid_136	4.25	4.42	4.25	7.34	7.03	7.6	4.7	4.56	4.56
27.05.14	1	10	9	Uninfected	6	N566495	blue	13	28.1	spvid_137	5.33	4.84	5.05	6.68	6.59	6.64	4.71	4.6	4.53
27.05.14	1	10	9	Uninfected	6	N566140	red	14	27.1	spvid_138	5.9	5.49	4.33	8.4	8.67	8.04	5.07	5.2	5.43
27.05.14	1	10	9	Uninfected	6	N566497	white	14	26.9	spvid_139	5.09	5.32	5.1	7.12	7.9	7.45	4.9	4.45	4.99
27.05.14	1	10	9	Uninfected	6	N566200	yellow	14	28.1	spvid_140	4.64	4.4	4.28	7.08	6.42	6.27	4.17	4.41	4.83
29.05.14	1	12	9	Uninfected	10	N585203	blue	7	26.1	spvid_141	5.09	4.74	4.6	5.76	5.51	5.72	4.92	4.04	4.45
29.05.14	1	12	9	Uninfected	10	N585204	red	7	24.5	spvid_142	4.9	4.93	5.13	6.66	6.31	6.47	4.4	4.04	3.97
29.05.14	1	12	9	Uninfected	10	N585205	yellow	8	27	spvid_143	4.61	5.07	4.59	7.81	7.27	6.8	4.01	4.98	4.32
29.05.14	1	12	9	Uninfected	10	N566113	white	8	24.9	spvid_144	4.29	4.15	4.1	7.8	7.38	7.68	5.14	4.75	4.53
29.05.14	1	12	9	Infected	4	N566490	blue	8	25.4	spvid_145	3.69	3.76	3.91	5.28	5.37	5.04	3.85	3.81	4.14
29.05.14	1	12	9	Infected	4	N566493	yellow	9	24.7	spvid_146	4.57	4.11	4.12	7.08	6.71	6.94	4.76	4.63	4.69
29.05.14	1	12	9	Infected	4	N566182	red	9	25.9	spvid_147	4.3	4.52	4.73	7.06	6.9	7.2	5.31	5.37	5.32
29.05.14	1	12	9	Infected	4	N566492	white	9	27.6	spvid_148	4.88	5.29	4.98	6.74	6.29	6.52	4.18	3.95	4.25
29.05.14	1	12	9	Uninfected	14	N566198	red	10	25.4	spvid_149	4.45	4.55	4.45	6.32	6.54	6.77	5.64	5.65	5.88
29.05.14	1	12	9	Uninfected	14	N566199	white	10	25.7	spvid_150	5.75	4.95	4.96	7.34	7.8	7.33	5.2	4.93	4.75
29.05.14	1	12	9	Uninfected	14	N566404	yellow	10	26.7	spvid_151	4.76	4.98	4.65	6.54	6.08	6.2	4.17	4.24	4.34
29.05.14	1	12	9	Uninfected	14	N566160	blue	10	27.7	spvid_152	5.32	5.88	5.68	7.08	7.71	7.02	5.68	5.32	5.11
29.05.14	1	12	9	Infected	8	N585208	yellow	11	29.2	spvid_153	4.66	5.19	4.97	6.61	6.72	6.7	4.42	4.39	4.39
29.05.14	1	12	9	Infected	8	N585209	white	11	24.5	spvid_154	4.99	5.07	4.98	5.7	"5,59"	5.69	4.76	4.84	4.49
29.05.14	1	12	9	Infected	8	N585210	red	11	27.6	spvid_155	5.3	5.57	5.56	7.19	7.68	7.55	5.71	6.27	5.69
29.05.14	1	12	9	Infected	8	N566400	blue	11	26.5	spvid_156	5	5.39	4.78	6.23	6.64	6.62	4.45	4.8	4.73
29.05.14	1	12	9	Uninfected	2	N566484	blue	13	28.8	spvid_157	4.28	4.03	4.21	7.74	7.36	7.69	6.01	5.84	6.19
29.05.14	1	12	9	Uninfected	2	N566486	yellow	13	28	spvid_158	4.69	4.98	4.81	7.55	7.37	7.63	4.37	4.71	4.82
29.05.14	1	12	9	Uninfected	2	N566487	red	14	28	spvid_159	3.87	4.07	4.28	7.65	7.08	6.97	4.44	4.44	4.36
29.05.14	1	12	9	Uninfected	2	N566485	white	14	25.4	spvid_160	3.79	3.84	3.8	6.4	6.52	6.25	4.57	4.2	4.05
29.05.14	1	12	9	Infected	12	N566402	white	14	26.5	spvid_161	5.07	4.88	4.95	6.76	6.78	6.95	4.63	4.01	4.42
29.05.14	1	12	9	Infected	12	N566401	yellow	14	26.8	spvid_162	5.41	5.47	4.93	7.21	7	7.58	4.17	4.52	4.83
29.05.14	1	12	9	Infected	12	N566452	red	15	27.4	spvid_163	5.16	5.8	5.56	6.69	6.78	6.36	4.48	4.74	4.38
29.05.14	1	12	9	Infected	12	N566403	blue	15	25.6	spvid_164	5.34	5.52	5.63	8.35	8.11	8.45	5.4	4.82	4.34
29.05.14	1	12	9	Uninfected	6	N566495	blue	15	26.4	spvid_165	5.61	5.4	5.82	6.88	6.12	6.47	3.85	3.97	4.14
29.05.14	1	12	9	Uninfected	6	N566140	red	15	26.6	spvid_166	4.81	4.92	4.91	8.24	8.02	8.02	5.46	5.5	5.29
29.05.14	1	12	9	Uninfected	6	N566497	white	16	25.9	spvid_167	5.41	5.58	5.32	6.72	6.96	6.84	4.88	4.78	4.67
29.05.14	1	12	9	Uninfected	6	N566200	yellow	16	26.8	spvid_168	4.8	4.89	4.77	7.44	6.96	7.06	4.64	4.36	4.83
31.05.14	2	10	9	Infected	15	N566460	blue	7	27	spvid_169	4.15	4.13	3.94	6.62	6.48	6.63	3.97	3.93	3.9
31.05.14	2	10	9	Infected	15	N566473	white	7	30.6	spvid_170	5.5	5.51	5.52	8.05	8.61	8.41	6.19	6.18	6.58
31.05.14	2	10	9	Infected	15	N173696	red	8	28.4	spvid_171	4.63	4.56	4.55	6.81	7.54	6.92	4.98	5.4	5.27
31.05.14	2	10	9	Infected	15	N566450	yellow	8	27.8	spvid_172	5.09	4.7	5	6.5	7.33	7	4.89	4.9	5
31.05.14	2	10	9	Uninfected	9	N566457	white	8	24.9	spvid_173	4.83	4.57	4.64	6.13	7.16	6.71	4.86	5.21	4.9
31.05.14	2	10	9	Uninfected	9	N566433	blue	8	28.8	spvid_174	4.68	4.66	4.73	7.36	7.08	7.68	4.76	4.93	5.15
31.05.14	2	10	9	Uninfected	9	N566438	yellow	9	27.7	spvid_175	5.34	5.13	5.02	6.46	6.41	6.22	5.2	5.12	5.15
31.05.14	2	10	9	Uninfected	9	N566432	red	9	25.2	spvid_176	5.96	5.28	5.34	6.98	6.85	7	4.38	4.51	4.76
31.05.14	2	10	9	Infected	3	N566409	yellow	9	26.1	spvid_177	5.44	5.24	4.93	7.54	7.01	7.09	4.13	4.77	4.26
31.05.14	2	10	9	Infected	3	N566413	blue	9	27.8	spvid_178	4.1	4.8	4.93	7.59	7.58	7.63	4.65	4.84	5.12
31.05.14	2	10	9	Infected	3	N566415	white	9	26.3	spvid_179	5.17	4.87	5.11	7.02	7.24	7.3	5.89	5.54	5.65
31.05.14	2	10	9	Infected	3	N566436	red	9	26.9	spvid_180	5.02	5.08	4.95	6.83	6.5	6.87	4.26	4.48	4.47
31.05.14	2	10	9	Uninfected	13	N566441	yellow	10	29.2	spvid_181	4.29	5.29	5.34	6.85	7.27	7.3	5.04	4.99	5.11
31.05.14	2	10	9	Uninfected	13	N566464	red	10	27.3	spvid_182	4.72	4.66	4.97	6.17	6.42	6.38	4.71	4.49	4.73
31.05.14	2	10	9	Uninfected	13	N566448	white	10	25.5	spvid_183	4.42	4.34	4.08	6.51	6.57	6.62	4.48	4.42	4.21
31.05.14	2	10	9	Uninfected	13	N566466	blue	10	26.7	spvid_184	5.19	5.31	5.35	7.07	7.05	6.59	4.45	4.47	4.56
31.05.14	2	10	9	Infected	7	N566423	yellow	12	27.2	spvid_185	5.13	4.77	4.82	6.1	5.48	6.11	4	4.44	4.33
